dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc
garments,2,42,2,1,0,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 22.28086582547341, 3660.0, 283.2392917244888, 0.0, 0.0, 0.0, 25.462883752072855]",2,False,False,0,15.527,0.7824267782426778
garments,2,42,2,1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 23.471249493920695, 3660.0, 144.61727622331915, 0.0, 0.0, 0.0, 20.030346917317267]",2,False,False,0,15.582,0.7824267782426778
garments,2,42,2,1,2,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 22.323922601601957, 6312.086055346432, 88.69699643357563, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,15.439,0.7824267782426778
garments,2,42,2,1,3,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 22.51583830875044, 3660.0, 88.70269162302174, 0.0, 0.0, 0.0, 24.902066651908868]",2,False,False,0,15.694,0.7824267782426778
garments,2,42,2,1,4,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 24.823439422313513, 3660.0, 166.26665653966234, 0.0, 0.0, 0.0, 23.434949105853093]",2,False,False,0,15.651,0.7824267782426778
garments,2,42,2,2,0,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 70.42779261123619, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,15.549,0.7824267782426778
garments,2,42,2,2,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 69.5595646842975, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,15.497,0.7824267782426778
garments,2,42,2,2,2,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 71.50780435009825, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,15.47,0.7824267782426778
garments,2,42,2,2,3,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 69.52829938631572, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,15.462,0.7824267782426778
garments,2,42,2,2,4,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 69.61189070546527, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,15.494,0.7824267782426778
garments,2,42,2,3,0,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 6900.0, 44.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 6900.0, 89.32058602491632, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,16.323,0.7824267782426778
garments,2,42,2,3,1,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 6900.0, 44.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 6900.0, 85.47380278356414, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,16.356,0.7824267782426778
garments,2,42,2,3,2,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 6900.0, 44.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 6900.0, 85.45046127596979, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,16.267,0.7824267782426778
garments,2,42,2,3,3,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 6900.0, 44.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 6900.0, 84.87328453458116, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,16.338,0.7824267782426778
garments,2,42,2,3,4,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 6900.0, 44.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 6900.0, 94.4705031207672, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,16.355,0.7824267782426778
garments,2,42,2,6,0,"[0.0, 1.0, 1.0, 0.0, 0.8, 28.08, 6300.0, 50.0, 0.0, 0.0, 0.0, 56.5]",1,1,"[0.0, 1.0, 1.0, 0.0, 0.8, 28.08, 6300.0, 69.63974827898235, 0.0, 0.0, 0.0, 56.5]",2,False,False,0,14.946,0.7824267782426778
garments,2,42,2,6,1,"[0.0, 1.0, 1.0, 0.0, 0.8, 28.08, 6300.0, 50.0, 0.0, 0.0, 0.0, 56.5]",1,1,"[0.0, 1.0, 1.0, 0.0, 0.8, 28.08, 6300.0, 69.51801740057256, 0.0, 0.0, 0.0, 56.5]",2,False,False,0,14.868,0.7824267782426778
garments,2,42,2,6,2,"[0.0, 1.0, 1.0, 0.0, 0.8, 28.08, 6300.0, 50.0, 0.0, 0.0, 0.0, 56.5]",1,1,"[0.0, 1.0, 1.0, 0.0, 0.8, 28.08, 6300.0, 69.69613553723224, 0.0, 0.0, 0.0, 56.5]",2,False,False,0,14.861,0.7824267782426778
garments,2,42,2,6,3,"[0.0, 1.0, 1.0, 0.0, 0.8, 28.08, 6300.0, 50.0, 0.0, 0.0, 0.0, 56.5]",1,1,"[0.0, 1.0, 1.0, 0.0, 0.8, 28.08, 6300.0, 69.78743496282223, 0.0, 0.0, 0.0, 56.5]",2,False,False,0,14.92,0.7824267782426778
garments,2,42,2,6,4,"[0.0, 1.0, 1.0, 0.0, 0.8, 28.08, 6300.0, 50.0, 0.0, 0.0, 0.0, 56.5]",1,1,"[0.0, 1.0, 1.0, 0.0, 0.8, 28.08, 6300.0, 69.53513634916726, 0.0, 0.0, 0.0, 56.5]",2,False,False,0,14.836,0.7824267782426778
garments,2,42,2,7,0,"[0.0, 1.0, 1.0, 2.0, 0.8, 28.08, 6540.0, 50.0, 0.0, 0.0, 0.0, 54.5]",1,1,"[0.0, 1.0, 1.0, 2.0, 0.8, 28.08, 6540.0, 78.74052074217738, 0.0, 0.0, 0.0, 54.5]",2,False,False,0,15.393,0.7824267782426778
garments,2,42,2,7,1,"[0.0, 1.0, 1.0, 2.0, 0.8, 28.08, 6540.0, 50.0, 0.0, 0.0, 0.0, 54.5]",1,1,"[0.0, 1.0, 1.0, 2.0, 0.8, 28.08, 6540.0, 78.69643591322576, 0.0, 0.0, 0.0, 54.5]",2,False,False,0,15.319,0.7824267782426778
garments,2,42,2,7,2,"[0.0, 1.0, 1.0, 2.0, 0.8, 28.08, 6540.0, 50.0, 0.0, 0.0, 0.0, 54.5]",1,1,"[0.0, 1.0, 1.0, 2.0, 0.8, 28.08, 6540.0, 79.18875205169758, 0.0, 0.0, 0.0, 54.5]",2,False,False,0,15.302,0.7824267782426778
garments,2,42,2,7,3,"[0.0, 1.0, 1.0, 2.0, 0.8, 28.08, 6540.0, 50.0, 0.0, 0.0, 0.0, 54.5]",1,1,"[0.0, 1.0, 1.0, 2.0, 0.8, 28.08, 6540.0, 78.8074546664998, 0.0, 0.0, 0.0, 54.5]",2,False,False,0,15.351,0.7824267782426778
garments,2,42,2,7,4,"[0.0, 1.0, 1.0, 2.0, 0.8, 28.08, 6540.0, 50.0, 0.0, 0.0, 0.0, 54.5]",1,1,"[0.0, 1.0, 1.0, 2.0, 0.8, 28.08, 6540.0, 78.55338159412746, 0.0, 0.0, 0.0, 54.5]",2,False,False,0,15.278,0.7824267782426778
garments,2,42,2,8,0,"[0.0, 1.0, 1.0, 10.0, 0.8, 11.61, 7080.0, 50.0, 0.0, 0.0, 0.0, 29.5]",1,1,"[0.0, 1.0, 1.0, 10.0, 0.8, 23.91699017452743, 7080.0, 220.0024098359773, 0.0, 0.0, 0.0, 29.5]",2,False,False,0,15.361,0.7824267782426778
garments,2,42,2,8,1,"[0.0, 1.0, 1.0, 10.0, 0.8, 11.61, 7080.0, 50.0, 0.0, 0.0, 0.0, 29.5]",1,1,"[0.0, 1.0, 1.0, 10.0, 0.8, 22.557358271596794, 7080.0, 176.89692290365252, 0.0, 0.0, 0.0, 29.5]",2,False,False,0,15.324,0.7824267782426778
