dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss
garments,2,42,4,0,0,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 11.0, 0.8, 7.54242324304266, 3660.0, 75.47524500314375, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,10.761,0.7782426778242678,rf,0.0061948884511784175,0.08643077755892253
garments,2,42,4,0,1,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 11.0, 0.8, 7.528994725009151, 3660.0, 70.7788907819209, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,10.862,0.7782426778242678,rf,0.006105638168247788,0.08638615241745723
garments,2,42,4,0,2,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 11.0, 0.8, 7.379974658879235, 3660.0, 196.0407484596316, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,10.76,0.7782426778242678,rf,0.009221189317416896,0.08794392799204177
garments,2,42,4,0,3,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 11.0, 0.8, 7.394014158320168, 3660.0, 79.21240441251842, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,10.734,0.7782426778242678,rf,0.006496482400872465,0.08658157453376956
garments,2,42,4,0,4,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 11.0, 0.8, 7.533206828226843, 3660.0, 71.34869643061606, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,10.85,0.7782426778242678,rf,0.00611272361640249,0.08638969514153458
garments,2,42,4,1,0,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 108.86364083386218, 0.0, 0.0, 0.0, 55.94722593390858]",2,False,False,0,10.836,0.7782426778242678,rf,0.0031174040882489783,0.08489203537745782
garments,2,42,4,1,1,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 75.09658496215576, 0.0, 0.0, 0.0, 55.500094223558904]",2,False,False,0,10.778,0.7782426778242678,rf,0.0019593857828435917,0.08431302622475513
garments,2,42,4,1,2,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 95.80294619435915, 0.0, 0.0, 0.0, 55.694489448730494]",2,False,False,0,10.918,0.7782426778242678,rf,0.0026023320446762373,0.08463449935567145
garments,2,42,4,1,3,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6764.699365264722, 81.60041775107975, 0.0, 0.0, 0.0, 54.0]",2,False,False,0,10.925,0.7782426778242678,rf,0.001762546209723816,0.08421460643819524
garments,2,42,4,1,4,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 130.84885205811003, 0.0, 0.0, 0.0, 55.41640180103377]",2,False,False,0,10.897,0.7782426778242678,rf,0.003179499354067169,0.08492308301036691
garments,2,42,4,2,0,"[0.0, 1.0, 3.0, 4.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 4.0, 0.8, 7.578854593971948, 3660.0, 76.43015313999386, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,10.796,0.7782426778242678,rf,0.006164193746880289,0.08641543020677347
garments,2,42,4,2,1,"[0.0, 1.0, 3.0, 4.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 4.0, 0.8, 7.568858244403664, 3660.0, 69.67947724958832, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,10.783,0.7782426778242678,rf,0.0060224155644114895,0.08634454111553908
garments,2,42,4,2,2,"[0.0, 1.0, 3.0, 4.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 4.0, 0.8, 7.581633114568826, 3660.0, 71.08558415654028, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,10.822,0.7782426778242678,rf,0.0060364500308185565,0.08635155834874261
garments,2,42,4,2,3,"[0.0, 1.0, 3.0, 4.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 4.0, 0.8, 7.4199251300404585, 3660.0, 81.91105931487738, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,10.798,0.7782426778242678,rf,0.00652139913142504,0.08659403289904585
garments,2,42,4,2,4,"[0.0, 1.0, 3.0, 4.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 4.0, 0.8, 7.347912819432956, 3660.0, 74.76592236555524, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,10.473,0.7782426778242678,rf,0.006460368110330428,0.08656351738849855
garments,2,42,4,3,0,"[0.0, 1.0, 3.0, 3.0, 0.65, 23.69, 7200.0, 0.0, 0.0, 0.0, 0.0, 60.0]",0,0,"[0.0, 1.0, 3.0, 3.0, 0.6750240510432644, 23.69, 7200.0, 71.50348570171991, 0.0, 0.0, 0.0, 60.0]",2,False,False,0,9.988,0.7782426778242678,rf,0.004435623396050664,0.08555114503135866
garments,2,42,4,3,1,"[0.0, 1.0, 3.0, 3.0, 0.65, 23.69, 7200.0, 0.0, 0.0, 0.0, 0.0, 60.0]",0,0,"[0.0, 1.0, 3.0, 3.0, 0.6756845228639009, 23.69, 7200.0, 73.26731745341303, 0.0, 0.0, 0.0, 60.0]",2,False,False,0,10.021,0.7782426778242678,rf,0.00454983859259577,0.08560825262963122
garments,2,42,4,3,2,"[0.0, 1.0, 3.0, 3.0, 0.65, 23.69, 7200.0, 0.0, 0.0, 0.0, 0.0, 60.0]",0,0,"[0.0, 1.0, 3.0, 3.0, 0.675813619324812, 23.69, 7200.0, 70.31004055407777, 0.0, 0.0, 0.0, 60.0]",2,False,False,0,10.007,0.7782426778242678,rf,0.004495727160027203,0.08558119691334692
garments,2,42,4,3,3,"[0.0, 1.0, 3.0, 3.0, 0.65, 23.69, 7200.0, 0.0, 0.0, 0.0, 0.0, 60.0]",0,0,"[0.0, 1.0, 3.0, 3.0, 0.676054030656636, 23.69, 7200.0, 79.08149494755722, 0.0, 0.0, 0.0, 60.0]",2,False,False,0,9.963,0.7782426778242678,rf,0.004725482456004864,0.08569607456133577
garments,2,42,4,3,4,"[0.0, 1.0, 3.0, 3.0, 0.65, 23.69, 7200.0, 0.0, 0.0, 0.0, 0.0, 60.0]",0,0,"[0.0, 1.0, 3.0, 3.0, 0.6754318156119533, 23.69, 7200.0, 79.14134970145362, 0.0, 0.0, 0.0, 60.0]",2,False,False,0,9.979,0.7782426778242678,rf,0.00465773297775068,0.08566219982220867
