dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss,sparsity
garments,2,42,3,0,0,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 103.25788122164886, 0.0, 0.0, 0.0, 55.931174917034376]",2,True,False,64,250.534,0.8242677824267782,rf,0.0012907548960950906,0.08397871078138087,0.8333333333333334
garments,2,42,3,0,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 96.86582788982071, 0.0, 0.0, 0.0, 55.84937391311203]",2,True,False,64,257.52,0.8242677824267782,rf,0.0012116467625067654,0.08393915671458671,0.8333333333333334
garments,2,42,3,0,2,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 98.9258171445758, 0.0, 0.0, 0.0, 55.95322216359047]",2,True,False,64,252.119,0.8242677824267782,rf,0.0011719173467048542,0.08391929200668576,0.8333333333333334
garments,2,42,3,0,3,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 84.90648960704237, 0.0, 0.0, 0.0, 55.76824089924805]",2,True,False,64,252.924,0.8242677824267782,rf,0.0010031040108969833,0.08383488533878182,0.8333333333333334
garments,2,42,3,0,4,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 84.50890469952469, 0.0, 0.0, 0.0, 55.994361955220505]",2,True,False,64,253.138,0.8242677824267782,rf,0.0008035630673538922,0.08373511486701027,0.8333333333333334
garments,2,42,3,1,0,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 88.72603764939716, 0.0, 0.0, 0.0, 56.0]",2,True,False,64,258.533,0.8242677824267782,rf,0.001174213834476786,0.04225377358390506,0.9166666666666666
garments,2,42,3,1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 81.7452832086484, 0.0, 0.0, 0.0, 56.0]",2,True,False,64,259.718,0.8242677824267782,rf,0.0010126222964964907,0.04217297781491491,0.9166666666666666
garments,2,42,3,1,2,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 83.61677299104925, 0.0, 0.0, 0.0, 56.0]",2,True,False,64,258.404,0.8242677824267782,rf,0.0010559438192372511,0.04219463857628529,0.9166666666666666
garments,2,42,3,1,3,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 84.75359586571278, 0.0, 0.0, 0.0, 56.0]",2,True,False,64,258.473,0.8242677824267782,rf,0.001082259163558166,0.04220779624844575,0.9166666666666666
garments,2,42,3,1,4,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 94.72274395371113, 0.0, 0.0, 0.0, 56.0]",2,True,False,64,259.383,0.8242677824267782,rf,0.0013130264804099797,0.04232317990687166,0.9166666666666666
garments,2,42,3,3,0,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 17.234379037456996]",2,True,False,64,279.459,0.8242677824267782,rf,0.007773046327825755,0.045553189830579544,0.9166666666666666
garments,2,42,3,3,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.6902742817803833, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 13.059603840157326]",2,True,False,64,285.516,0.8242677824267782,rf,0.0053395611491134035,0.08600311390789003,0.8333333333333334
garments,2,42,3,3,2,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 16.151688406197916]",2,True,False,64,282.163,0.8242677824267782,rf,0.006861690577607674,0.0450975119554705,0.9166666666666666
garments,2,42,3,3,3,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 12.027196617764975]",2,True,False,64,280.233,0.8242677824267782,rf,0.0033898961428998104,0.04336161473811657,0.9166666666666666
garments,2,42,3,3,4,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 13.6390185130841]",2,True,False,64,281.761,0.8242677824267782,rf,0.004746648580037121,0.044039990956685225,0.9166666666666666
garments,2,42,3,4,0,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 12.42482883013971]",2,True,False,64,268.62,0.8242677824267782,rf,0.003724603392373493,0.04352896836285341,0.9166666666666666
garments,2,42,3,4,1,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 1290.4444173894497, 0.0, 0.0, 0.0, 0.0, 11.759847686491371]",2,True,False,64,268.768,0.8242677824267782,rf,0.004227240556133995,0.08544695361140033,0.8333333333333334
garments,2,42,3,4,2,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 12.265326753599638]",2,True,False,64,267.759,0.8242677824267782,rf,0.0035903423851848804,0.043461837859259105,0.9166666666666666
