dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss
garments,2,42,2,1,0,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 3.3334553378815497, 3660.0, 0.0, 0.0, 0.0, 0.0, 22.14094953494473]",2,True,True,0,10.929,0.7824267782426778,rf,0.01989878236408146,0.13494939118204072
garments,2,42,2,1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 0.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 0.0, 0.0, 0.0, 0.0, 18.724727377591424]",2,True,True,0,10.894,0.7824267782426778,rf,0.0944025863824988,0.17220129319124938
garments,2,42,2,1,2,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 0.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 0.0, 0.0, 0.0, 0.0, 24.487776578048155]",2,True,True,0,10.946,0.7824267782426778,rf,0.08955153486696284,0.1697757674334814
garments,2,42,2,1,3,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 0.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 4.19980211758417, 0.0, 0.0, 0.0, 25.21958605113845]",2,True,True,0,10.893,0.7824267782426778,rf,0.08883831598537709,0.16941915799268853
garments,2,42,2,1,4,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 0.0, 3.0, 0.0, 0.8, 11.41, 3660.0, 27.723430362892493, 0.0, 0.0, 0.0, 30.5]",2,True,True,0,10.738,0.7824267782426778,rf,0.16718232800085897,0.20859116400042949
garments,2,42,2,2,0,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 73.80066808403456, 0.0, 0.0, 0.0, 57.5]",2,True,True,0,10.89,0.7824267782426778,rf,0.000666682131574874,0.0420000077324541
garments,2,42,2,2,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 70.29076541274401, 0.0, 0.0, 0.0, 57.5]",2,True,True,0,10.955,0.7824267782426778,rf,0.0005854343845542594,0.041959383858943794
garments,2,42,2,2,2,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 71.55223132304133, 0.0, 0.0, 0.0, 57.5]",2,True,True,0,10.909,0.7824267782426778,rf,0.0006146349843296603,0.041973984158831495
garments,2,42,2,2,3,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 69.51387060429454, 0.0, 0.0, 0.0, 57.5]",2,True,True,0,10.922,0.7824267782426778,rf,0.0005674507084327439,0.041950392020883034
garments,2,42,2,2,4,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 72.29735323576902, 0.0, 0.0, 0.0, 57.5]",2,True,True,0,10.906,0.7824267782426778,rf,0.0006318831767539125,0.04198260825504362
