dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss,sparsity
garments,2,42,1,2,0,"[0.0, 0.0, 3.0, 7.0, 0.75, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 0.0, 0.75, 3.964690177716193, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",2,True,True,4,66.356,0.7740585774058577,rf,0.08487636257640027,0.12577151462153346,0.8333333333333334
garments,2,42,1,2,1,"[0.0, 0.0, 3.0, 7.0, 0.75, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 0.0, 0.75, 3.9800993795130095, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",2,True,True,4,67.315,0.7740585774058577,rf,0.0848986947529174,0.12578268070979204,0.8333333333333334
garments,2,42,1,2,2,"[0.0, 0.0, 3.0, 7.0, 0.75, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 0.0, 0.75, 3.944350692838871, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",2,True,True,4,66.839,0.7740585774058577,rf,0.08484688506208532,0.125756775864376,0.8333333333333334
garments,2,42,1,2,3,"[0.0, 0.0, 3.0, 7.0, 0.75, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 0.0, 0.75, 3.9245132856795375, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",2,True,True,4,66.377,0.7740585774058577,rf,0.08481813519663702,0.12574240093165184,0.8333333333333334
garments,2,42,1,2,4,"[0.0, 0.0, 3.0, 7.0, 0.75, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 0.0, 0.75, 2.5, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",2,True,True,4,67.482,0.7740585774058577,rf,0.08391304347826087,0.12528985507246376,0.8333333333333334
garments,2,42,1,3,0,"[0.0, 0.0, 3.0, 6.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 0.0, 0.8, 2.5, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",2,True,True,4,68.419,0.7740585774058577,rf,0.08391304347826087,0.12528985507246376,0.8333333333333334
garments,2,42,1,3,1,"[0.0, 0.0, 3.0, 6.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 0.0, 0.8, 3.922091051444836, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",2,True,True,4,68.482,0.7740585774058577,rf,0.08481462471223888,0.12574064568945276,0.8333333333333334
garments,2,42,1,3,2,"[0.0, 0.0, 3.0, 6.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 2.0, 0.8, 2.9, 960.0, 161.53454981676737, 0.0, 0.0, 0.0, 8.0]",2,True,True,4,67.502,0.7740585774058577,rf,0.08707255902353628,0.12686961284510145,0.8333333333333334
garments,2,42,1,3,3,"[0.0, 0.0, 3.0, 6.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 0.0, 0.8, 2.5, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",2,True,True,4,67.855,0.7740585774058577,rf,0.08391304347826087,0.12528985507246376,0.8333333333333334
garments,2,42,1,3,4,"[0.0, 0.0, 3.0, 6.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 0.0, 0.8, 3.920758366173975, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",2,True,True,4,67.808,0.7740585774058577,rf,0.0848126932843101,0.12573967997548838,0.8333333333333334
