dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
garments,2,42,3,0,0,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 3.94, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",2,True,False,0,101.558,rf,0.8242677824267782,0.07156374127750938,0.20244853730542134,0.6666666666666667
garments,2,42,3,0,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 0.0, 3.0, 5.0, 0.8, 2.9, 1920.0, 0.0, 0.0, 0.0, 0.0, 22.0]",2,True,False,0,101.972,rf,0.8242677824267782,0.14644360269360268,0.239888468013468,0.6666666666666667
garments,2,42,3,0,2,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 0.0, 3.0, 5.0, 0.8, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",2,True,False,0,99.69,rf,0.8242677824267782,0.15459272678475577,0.2856296967257112,0.5833333333333334
garments,2,42,3,0,3,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 0.0, 3.0, 5.0, 0.8, 2.9, 1440.0, 0.0, 0.0, 0.0, 0.0, 22.0]",2,True,False,0,29.325,rf,0.8242677824267782,0.1479868125701459,0.28232673961840626,0.5833333333333334
garments,2,42,3,0,4,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.8, 3.94, 1440.0, 0.0, 0.0, 0.0, 0.0, 2.0]",2,True,False,0,3.172,rf,0.8242677824267782,0.1633145830283511,0.28999062484750887,0.5833333333333334
garments,2,42,3,1,0,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.8, 22.52, 6720.0, 113.0, 0.0, 0.0, 0.0, 56.0]",2,True,False,0,2.803,rf,0.8242677824267782,0.08996799516908212,0.16998399758454105,0.75
garments,2,42,3,1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.8, 22.52, 6720.0, 113.0, 0.0, 0.0, 0.0, 56.0]",2,True,False,0,2.928,rf,0.8242677824267782,0.08996799516908212,0.16998399758454105,0.75
garments,2,42,3,1,2,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 22.52, 6720.0, 88.0, 0.0, 0.0, 0.0, 56.0]",2,True,False,0,2.889,rf,0.8242677824267782,0.08938929146537841,0.16969464573268922,0.75
garments,2,42,3,1,3,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.8, 22.52, 6720.0, 113.0, 0.0, 0.0, 0.0, 56.0]",2,True,False,0,2.839,rf,0.8242677824267782,0.08996799516908212,0.16998399758454105,0.75
garments,2,42,3,1,4,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.8, 22.52, 6720.0, 113.0, 0.0, 0.0, 0.0, 56.0]",2,True,False,0,100.569,rf,0.8242677824267782,0.08996799516908212,0.16998399758454105,0.75
garments,2,42,3,3,0,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.8, 4.15, 1920.0, 0.0, 0.0, 0.0, 0.0, 8.0]",2,True,False,0,45.928,rf,0.8242677824267782,0.01419753086419754,0.0904320987654321,0.8333333333333334
garments,2,42,3,3,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 8.0, 0.8, 4.15, 1080.0, 0.0, 0.0, 0.0, 0.0, 8.0]",2,True,False,0,2.93,rf,0.8242677824267782,0.09483024691358025,0.1724151234567901,0.75
garments,2,42,3,3,2,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 6.0, 0.7, 3.94, 1200.0, 0.0, 0.0, 0.0, 0.0, 9.0]",2,True,False,0,2.89,rf,0.8242677824267782,0.08525103693944272,0.20929218513638803,0.6666666666666667
garments,2,42,3,3,3,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.8, 4.15, 1920.0, 0.0, 0.0, 0.0, 0.0, 10.0]",2,True,False,0,3.98,rf,0.8242677824267782,0.015881032547699223,0.13294051627384962,0.75
