dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
garments,2,42,0,1,0,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.8, 22.52, 6780.0, 113.0, 0.0, 0.0, 0.0, 56.5]",2,True,False,0,93.207,rf,0.7916666666666666,0.014995181281413167,0.2158309239740399,0.5833333333333334
garments,2,42,0,1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.8, 22.52, 6780.0, 113.0, 0.0, 0.0, 0.0, 56.5]",2,True,False,0,93.624,rf,0.7916666666666666,0.014995181281413167,0.2158309239740399,0.5833333333333334
garments,2,42,0,1,2,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 0.0, 1.0, 0.8, 4.6, 6000.0, 0.0, 0.0, 0.0, 0.0, 25.0]",2,True,False,0,82.698,rf,0.7916666666666666,0.13705888596105986,0.27686277631386325,0.5833333333333334
garments,2,42,0,1,3,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.8, 22.52, 6780.0, 113.0, 0.0, 0.0, 0.0, 56.5]",2,True,False,0,92.115,rf,0.7916666666666666,0.014995181281413167,0.2158309239740399,0.5833333333333334
garments,2,42,0,1,4,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.8, 22.52, 6780.0, 113.0, 0.0, 0.0, 0.0, 56.5]",2,True,False,0,74.277,rf,0.7916666666666666,0.014995181281413167,0.2158309239740399,0.5833333333333334
garments,2,42,0,2,0,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.8, 22.52, 6900.0, 113.0, 0.0, 0.0, 0.0, 57.5]",2,True,False,0,100.067,rf,0.7916666666666666,0.015187600644122385,0.1325938003220612,0.75
garments,2,42,0,2,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.8, 22.52, 6900.0, 113.0, 0.0, 0.0, 0.0, 57.5]",2,True,False,0,84.677,rf,0.7916666666666666,0.015187600644122385,0.1325938003220612,0.75
garments,2,42,0,2,2,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.8, 22.52, 6900.0, 75.0, 0.0, 0.0, 0.0, 57.5]",2,True,False,0,96.279,rf,0.7916666666666666,0.014307971014492753,0.13215398550724639,0.75
garments,2,42,0,2,3,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.8, 22.52, 6900.0, 113.0, 0.0, 0.0, 0.0, 57.5]",2,True,False,0,81.581,rf,0.7916666666666666,0.015187600644122385,0.1325938003220612,0.75
garments,2,42,0,2,4,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.8, 22.52, 6900.0, 113.0, 0.0, 0.0, 0.0, 57.5]",2,True,False,0,72.532,rf,0.7916666666666666,0.015187600644122385,0.1325938003220612,0.75
garments,2,42,0,5,0,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 3.0, 7.0, 0.8, 26.16, 7080.0, 98.0, 0.0, 0.0, 0.0, 59.0]",2,True,False,0,96.763,rf,0.7916666666666666,0.08444444444444445,0.12555555555555556,0.8333333333333334
garments,2,42,0,5,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 3.0, 7.0, 0.8, 26.16, 7080.0, 98.0, 0.0, 0.0, 0.0, 59.0]",2,True,False,0,93.989,rf,0.7916666666666666,0.08444444444444445,0.12555555555555556,0.8333333333333334
garments,2,42,0,5,2,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 3.0, 7.0, 0.8, 26.16, 7080.0, 98.0, 0.0, 0.0, 0.0, 59.0]",2,True,False,0,98.743,rf,0.7916666666666666,0.08444444444444445,0.12555555555555556,0.8333333333333334
garments,2,42,0,5,3,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 3.0, 7.0, 0.8, 26.16, 7080.0, 98.0, 0.0, 0.0, 0.0, 59.0]",2,True,False,0,86.825,rf,0.7916666666666666,0.08444444444444445,0.12555555555555556,0.8333333333333334
garments,2,42,0,5,4,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 3.0, 7.0, 0.8, 26.16, 7080.0, 98.0, 0.0, 0.0, 0.0, 59.0]",2,True,False,0,83.729,rf,0.7916666666666666,0.08444444444444445,0.12555555555555556,0.8333333333333334
garments,2,42,0,6,0,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 1.0, 6.0, 0.8, 2.9, 0.0, 70.0, 0.0, 0.0, 0.0, 56.0]",2,True,False,0,74.325,rf,0.7916666666666666,0.055679012345679,0.1528395061728395,0.75
garments,2,42,0,6,1,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 1.0, 9.0, 0.8, 22.52, 6720.0, 88.0, 0.0, 0.0, 0.0, 56.0]",2,True,False,0,74.377,rf,0.7916666666666666,0.08938929146537841,0.16969464573268922,0.75
garments,2,42,0,6,2,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 1.0, 9.0, 0.8, 22.52, 6720.0, 88.0, 0.0, 0.0, 0.0, 56.0]",2,True,False,0,70.977,rf,0.7916666666666666,0.08938929146537841,0.16969464573268922,0.75
