dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss,sparsity
garments,2,42,3,0,0,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 0.0, 2.0, 2.0, 0.8, 4.6, 1920.0, 0.0, 0.0, 0.0, 0.0, 15.0]",2,False,False,0,1.008,0.8242677824267782,rf,0.3165387571365832,0.4082693785682916,0.5
garments,2,42,3,0,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 0.0, 3.0, 2.0, 0.8, 4.6, 1800.0, 0.0, 0.0, 0.0, 0.0, 15.0]",2,False,False,0,1.064,0.8242677824267782,rf,0.23359122627238565,0.3667956131361928,0.5
garments,2,42,3,0,2,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 0.0, 3.0, 2.0, 0.8, 4.6, 1800.0, 0.0, 0.0, 0.0, 0.0, 15.0]",2,False,False,0,1.136,0.8242677824267782,rf,0.23359122627238565,0.3667956131361928,0.5
garments,2,42,3,0,3,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 0.0, 3.0, 2.0, 0.8, 4.6, 1800.0, 0.0, 0.0, 0.0, 0.0, 15.0]",2,False,False,0,1.105,0.8242677824267782,rf,0.23359122627238565,0.3667956131361928,0.5
garments,2,42,3,0,4,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 0.0, 3.0, 10.0, 0.8, 3.94, 1920.0, 0.0, 0.0, 0.0, 0.0, 8.0]",2,False,False,0,1.146,0.8242677824267782,rf,0.2400542014346362,0.3283604340506514,0.5833333333333334
garments,2,42,3,1,0,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.8, 22.52, 6720.0, 113.0, 0.0, 0.0, 0.0, 56.0]",2,False,False,0,1.088,0.8242677824267782,rf,0.08996799516908212,0.16998399758454105,0.75
garments,2,42,3,1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 2.0, 6.0, 0.8, 22.52, 6720.0, 75.0, 0.0, 0.0, 0.0, 56.0]",2,False,False,0,1.062,0.8242677824267782,rf,0.0890883655394525,0.16954418276972624,0.75
garments,2,42,3,1,2,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.8, 22.52, 6720.0, 113.0, 0.0, 0.0, 0.0, 56.0]",2,False,False,0,1.051,0.8242677824267782,rf,0.08996799516908212,0.16998399758454105,0.75
garments,2,42,3,1,3,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.8, 22.52, 6720.0, 88.0, 0.0, 0.0, 0.0, 56.0]",2,False,False,0,1.147,0.8242677824267782,rf,0.08938929146537841,0.16969464573268922,0.75
garments,2,42,3,1,4,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.8, 22.52, 6720.0, 113.0, 0.0, 0.0, 0.0, 56.0]",2,False,False,0,1.046,0.8242677824267782,rf,0.08996799516908212,0.16998399758454105,0.75
garments,2,42,3,3,0,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[3.0, 0.0, 4.0, 11.0, 0.7, 4.15, 1080.0, 0.0, 0.0, 0.0, 0.0, 9.0]",2,False,False,0,1.069,0.8242677824267782,rf,0.25122755331088664,0.33394710998877664,0.5833333333333334
garments,2,42,3,3,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[3.0, 0.0, 4.0, 11.0, 0.7, 4.15, 1080.0, 0.0, 0.0, 0.0, 0.0, 9.0]",2,False,False,0,1.057,0.8242677824267782,rf,0.25122755331088664,0.33394710998877664,0.5833333333333334
