dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss,sparsity
garments,2,42,4,0,0,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 0.0, 3.0, 11.0, 0.8, 6.531169793904574, 3660.0, 50.0, 0.0, 0.0, 0.0, 25.138256508509304]",1,False,False,0,60.203,0.7782426778242678,rf,0.09491735384517877,1.1724586769225893,0.75
garments,2,42,4,0,1,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 0.0, 3.0, 11.0, 0.8, 7.273073267357572, 3660.0, 50.0, 0.0, 0.0, 0.0, 25.366083414931502]",1,False,False,0,62.627,0.7782426778242678,rf,0.0936503579296302,1.171825178964815,0.75
garments,2,42,4,0,2,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 0.0, 3.0, 11.0, 0.8, 6.017655482740637, 3660.0, 50.0, 0.0, 0.0, 0.0, 25.350296305832458]",1,False,False,0,65.246,0.7782426778242678,rf,0.09548309280666535,1.1727415464033326,0.75
garments,2,42,4,0,3,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 0.0, 3.0, 11.0, 0.8, 6.466550609476798, 3660.0, 50.0, 0.0, 0.0, 0.0, 25.148268253357738]",1,False,False,0,66.015,0.7782426778242678,rf,0.09500257744244951,1.1725012887212247,0.75
garments,2,42,4,0,4,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 0.0, 5.0, 11.0, 0.8, 6.939252734779691, 3660.0, 50.0, 0.0, 0.0, 0.0, 24.51069451685388]",2,False,False,0,66.414,0.7782426778242678,rf,0.17818751346124598,0.25576042339728966,0.6666666666666667
garments,2,42,4,1,0,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 0.0, 5.0, 9.0, 1.6664208036819872, 4.767145460667749, 6480.0, 45.0, 6.004499817446573, 0.0, 0.0, 54.0]",2,False,False,0,168.206,0.7782426778242678,rf,0.291235717806708,0.3539511922366873,0.5833333333333334
garments,2,42,4,1,1,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 0.0, 5.0, 9.0, 5.0059343211488185, 4.575917369790739, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",2,False,False,0,173.661,0.7782426778242678,rf,0.6609020008477565,0.49711766709054495,0.6666666666666667
garments,2,42,4,1,2,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 0.0, 0.0, 9.0, 0.75, 4.16921283939554, 6480.0, 45.0, 6.1784606181185655, 0.0, 0.0, 58.82481282844707]",1,False,False,0,167.519,0.7782426778242678,rf,0.1943873657848682,1.3055270162257675,0.5833333333333334
garments,2,42,4,1,3,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 0.0, 5.0, 9.0, 1.5097971418465663, 4.594494482917966, 6480.0, 45.0, 4.403342671593714, 0.0, 0.0, 54.0]",2,False,False,0,167.226,0.7782426778242678,rf,0.2736385416483684,0.34515260415751753,0.5833333333333334
garments,2,42,4,1,4,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 0.0, 1.0, 9.0, 5.640994246618378, 4.5572523230853985, 6480.0, 45.0, 5.831969870148672, 0.0, 0.0, 54.0]",2,False,False,0,155.093,0.7782426778242678,rf,0.7331112572117422,0.5748889619392044,0.5833333333333334
garments,2,42,4,2,0,"[0.0, 1.0, 3.0, 4.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 0.0, 4.0, 4.0, 0.8, 7.157593357276615, 3660.0, 50.0, 0.0, 0.0, 0.0, 25.087277634718863]",2,False,False,0,63.778,0.7782426778242678,rf,0.17738573845166564,0.2553595358924995,0.6666666666666667
garments,2,42,4,2,1,"[0.0, 1.0, 3.0, 4.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 0.0, 2.0, 4.0, 0.8, 7.512278105251719, 3660.0, 50.0, 0.0, 0.0, 0.0, 25.465452224191473]",2,False,False,0,62.681,0.7782426778242678,rf,0.1765533738060177,0.2549433535696755,0.6666666666666667
garments,2,42,4,2,2,"[0.0, 1.0, 3.0, 4.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 0.0, 2.0, 4.0, 0.8, 7.418760151107088, 3660.0, 50.0, 0.0, 0.0, 0.0, 24.758936351765435]",2,False,False,0,70.173,0.7782426778242678,rf,0.1772836174032189,0.2553084753682761,0.6666666666666667
garments,2,42,4,2,3,"[0.0, 1.0, 3.0, 4.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 0.0, 3.0, 4.0, 0.8, 7.265118095587096, 3660.0, 50.0, 1.3010692561484427, 0.0, 0.0, 25.343160439012003]",2,False,False,0,67.138,0.7782426778242678,rf,0.09404259072506374,0.21368796202919854,0.6666666666666667
garments,2,42,4,2,4,"[0.0, 1.0, 3.0, 4.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 0.0, 3.0, 4.0, 0.8, 7.500254070321121, 3660.0, 50.0, 0.0, 0.0, 0.0, 25.288986009566226]",2,False,False,0,66.479,0.7782426778242678,rf,0.09338600719496634,0.17169300359748318,0.75
