dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,run_time,blackbox_test_acc,opt_C_robust,opt_K_robust,blackbox,gower_dist,loss
garments,2,42,0,1,0,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 17.084, 19.87, 6000.0, 43.384, 0.0, 0.0, 0.0, 55.0]",1,False,311.864,0.7916666666666666,False,0,rf,1.8151061111111109,1.9908863888888888
garments,2,42,0,1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 17.086937, 19.87, 6000.0, 39.384, 0.0, 0.0, 0.0, 55.0]",1,False,312.134,0.7916666666666666,False,0,rf,1.8153398518518515,1.991003259259259
garments,2,42,0,1,2,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 17.09707, 19.87, 6000.0, 28.616, 0.0, 0.0, 0.0, 55.0]",1,False,272.03,0.7916666666666666,False,0,rf,1.8164657407407403,1.9915662037037034
garments,2,42,0,2,0,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6736.384, 40.384, 0.0, 0.0, 0.0, 57.5]",1,False,273.015,0.7916666666666666,False,0,rf,0.0006328806584362139,1.0836497736625514
garments,2,42,0,2,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 39.384, 0.0, 0.0, 0.0, 57.5]",1,False,237.928,0.7916666666666666,False,0,rf,0.00013,1.0417316666666667
garments,2,42,0,2,2,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 46.616, 0.0, 0.0, 0.0, 57.5]",1,False,257.398,0.7916666666666666,False,0,rf,3.74074074074074e-05,1.0416853703703703
garments,2,42,0,5,0,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 46.616, 0.0, 0.0, 0.0, 59.0]",1,False,242.681,0.7916666666666666,False,0,rf,7.833333333333333e-05,1.0417058333333333
garments,2,42,0,5,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 17.087423, 26.16, 7080.0, 39.384, 0.0, 0.0, 0.0, 59.0]",1,False,222.882,0.7916666666666666,False,0,rf,1.8099594074074075,1.9883130370370372
garments,2,42,0,5,2,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 46.616, 0.0, 0.0, 0.0, 59.0]",1,False,215.158,0.7916666666666666,False,0,rf,7.833333333333333e-05,1.0417058333333333
garments,2,42,0,6,0,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 1.0, 6.0, 17.084, 25.9, 6720.0, 46.384, -7.798703, 0.0, 0.0, 56.0]",1,False,232.085,0.7916666666666666,False,0,rf,1.8116937137962963,2.0308468568981484
