dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss
garments,2,42,1,2,0,"[0.0, 0.0, 3.0, 7.0, 0.75, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 7.0, 0.75, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,64.605,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,2,1,"[0.0, 0.0, 3.0, 7.0, 0.75, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 7.0, 0.75, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,64.647,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,2,2,"[0.0, 0.0, 3.0, 7.0, 0.75, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 7.0, 0.75, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,64.353,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,2,3,"[0.0, 0.0, 3.0, 7.0, 0.75, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 7.0, 0.75, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,64.006,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,2,4,"[0.0, 0.0, 3.0, 7.0, 0.75, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 7.0, 0.75, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,63.937,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,3,0,"[0.0, 0.0, 3.0, 6.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 6.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,64.784,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,3,1,"[0.0, 0.0, 3.0, 6.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 6.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,64.709,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,3,2,"[0.0, 0.0, 3.0, 6.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 6.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,64.757,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,3,3,"[0.0, 0.0, 3.0, 6.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 6.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,64.426,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,3,4,"[0.0, 0.0, 3.0, 6.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 3.0, 6.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,64.978,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,5,0,"[0.0, 1.0, 1.0, 9.0, 0.75, 19.31, 6480.0, 56.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 1.0, 9.0, 0.75, 19.31, 6480.0, 56.0, 0.0, 0.0, 0.0, 54.0]",1,False,False,0,64.379,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,5,1,"[0.0, 1.0, 1.0, 9.0, 0.75, 19.31, 6480.0, 56.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 1.0, 9.0, 0.75, 19.31, 6480.0, 56.0, 0.0, 0.0, 0.0, 54.0]",1,False,False,0,64.4,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,5,2,"[0.0, 1.0, 1.0, 9.0, 0.75, 19.31, 6480.0, 56.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 1.0, 9.0, 0.75, 19.31, 6480.0, 56.0, 0.0, 0.0, 0.0, 54.0]",1,False,False,0,64.385,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,5,3,"[0.0, 1.0, 1.0, 9.0, 0.75, 19.31, 6480.0, 56.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 1.0, 9.0, 0.75, 19.31, 6480.0, 56.0, 0.0, 0.0, 0.0, 54.0]",1,False,False,0,63.79,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,5,4,"[0.0, 1.0, 1.0, 9.0, 0.75, 19.31, 6480.0, 56.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 1.0, 9.0, 0.75, 19.31, 6480.0, 56.0, 0.0, 0.0, 0.0, 54.0]",1,False,False,0,63.706,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,8,0,"[0.0, 1.0, 2.0, 7.0, 0.8, 25.9, 6780.0, 45.0, 0.0, 0.0, 0.0, 56.5]",1,2,"[0.0, 1.0, 2.0, 7.0, 0.8, 25.9, 6780.0, 45.0, 0.0, 0.0, 0.0, 56.5]",1,False,False,0,65.941,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,8,1,"[0.0, 1.0, 2.0, 7.0, 0.8, 25.9, 6780.0, 45.0, 0.0, 0.0, 0.0, 56.5]",1,2,"[0.0, 1.0, 2.0, 7.0, 0.8, 25.9, 6780.0, 45.0, 0.0, 0.0, 0.0, 56.5]",1,False,False,0,65.837,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,8,2,"[0.0, 1.0, 2.0, 7.0, 0.8, 25.9, 6780.0, 45.0, 0.0, 0.0, 0.0, 56.5]",1,2,"[0.0, 1.0, 2.0, 7.0, 0.8, 25.9, 6780.0, 45.0, 0.0, 0.0, 0.0, 56.5]",1,False,False,0,65.931,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,8,3,"[0.0, 1.0, 2.0, 7.0, 0.8, 25.9, 6780.0, 45.0, 0.0, 0.0, 0.0, 56.5]",1,2,"[0.0, 1.0, 2.0, 7.0, 0.8, 25.9, 6780.0, 45.0, 0.0, 0.0, 0.0, 56.5]",1,False,False,0,65.935,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,8,4,"[0.0, 1.0, 2.0, 7.0, 0.8, 25.9, 6780.0, 45.0, 0.0, 0.0, 0.0, 56.5]",1,2,"[0.0, 1.0, 2.0, 7.0, 0.8, 25.9, 6780.0, 45.0, 0.0, 0.0, 0.0, 56.5]",1,False,False,0,66.096,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,9,0,"[0.0, 1.0, 2.0, 0.0, 0.8, 26.16, 7080.0, 63.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 2.0, 0.0, 0.8, 26.16, 7080.0, 64.575, 0.0, 0.0, 0.0, 59.0]",2,False,False,0,65.326,0.7740585774058577,rf,3.64583333333334e-05,0.04168489583333333
garments,2,42,1,9,1,"[0.0, 1.0, 2.0, 0.0, 0.8, 26.16, 7080.0, 63.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 2.0, 0.0, 0.8, 26.16, 7080.0, 64.575, 0.0, 0.0, 0.0, 59.0]",2,False,False,0,65.217,0.7740585774058577,rf,3.64583333333334e-05,0.04168489583333333
garments,2,42,1,9,2,"[0.0, 1.0, 2.0, 0.0, 0.8, 26.16, 7080.0, 63.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 2.0, 0.0, 0.8, 26.16, 7080.0, 64.575, 0.0, 0.0, 0.0, 59.0]",2,False,False,0,65.197,0.7740585774058577,rf,3.64583333333334e-05,0.04168489583333333
garments,2,42,1,9,3,"[0.0, 1.0, 2.0, 0.0, 0.8, 26.16, 7080.0, 63.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 2.0, 0.0, 0.8, 26.16, 7080.0, 64.575, 0.0, 0.0, 0.0, 59.0]",2,False,False,0,65.238,0.7740585774058577,rf,3.64583333333334e-05,0.04168489583333333
garments,2,42,1,9,4,"[0.0, 1.0, 2.0, 0.0, 0.8, 26.16, 7080.0, 63.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 2.0, 0.0, 0.8, 26.16, 7080.0, 64.575, 0.0, 0.0, 0.0, 59.0]",2,False,False,0,65.201,0.7740585774058577,rf,3.64583333333334e-05,0.04168489583333333
garments,2,42,1,10,0,"[0.0, 1.0, 2.0, 1.0, 0.8, 28.08, 6660.0, 50.0, 0.0, 0.0, 0.0, 55.5]",1,1,"[0.0, 1.0, 2.0, 1.0, 0.8, 28.08, 6660.0, 50.0, 0.0, 0.0, 0.0, 55.5]",1,False,False,0,65.354,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,10,1,"[0.0, 1.0, 2.0, 1.0, 0.8, 28.08, 6660.0, 50.0, 0.0, 0.0, 0.0, 55.5]",1,1,"[0.0, 1.0, 2.0, 1.0, 0.8, 28.08, 6660.0, 50.0, 0.0, 0.0, 0.0, 55.5]",1,False,False,0,65.298,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,10,2,"[0.0, 1.0, 2.0, 1.0, 0.8, 28.08, 6660.0, 50.0, 0.0, 0.0, 0.0, 55.5]",1,1,"[0.0, 1.0, 2.0, 1.0, 0.8, 28.08, 6660.0, 50.0, 0.0, 0.0, 0.0, 55.5]",1,False,False,0,66.489,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,10,3,"[0.0, 1.0, 2.0, 1.0, 0.8, 28.08, 6660.0, 50.0, 0.0, 0.0, 0.0, 55.5]",1,1,"[0.0, 1.0, 2.0, 1.0, 0.8, 28.08, 6660.0, 50.0, 0.0, 0.0, 0.0, 55.5]",1,False,False,0,68.281,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,10,4,"[0.0, 1.0, 2.0, 1.0, 0.8, 28.08, 6660.0, 50.0, 0.0, 0.0, 0.0, 55.5]",1,1,"[0.0, 1.0, 2.0, 1.0, 0.8, 28.08, 6660.0, 50.0, 0.0, 0.0, 0.0, 55.5]",1,False,False,0,64.994,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,11,0,"[0.0, 1.0, 2.0, 11.0, 0.8, 11.61, 6975.0, 50.0, 0.0, 0.0, 0.0, 31.0]",1,1,"[0.0, 1.0, 2.0, 11.0, 0.8, 11.61, 6975.0, 50.0, 0.0, 0.0, 0.0, 31.0]",1,False,False,0,64.834,0.7740585774058577,rf,0.0,1.0
garments,2,42,1,11,1,"[0.0, 1.0, 2.0, 11.0, 0.8, 11.61, 6975.0, 50.0, 0.0, 0.0, 0.0, 31.0]",1,1,"[0.0, 1.0, 2.0, 11.0, 0.8, 11.61, 6975.0, 50.0, 0.0, 0.0, 0.0, 31.0]",1,False,False,0,64.818,0.7740585774058577,rf,0.0,1.0
