dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc
garments,2,42,0,1,0,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[1.0, 0.0, 5.0, 1.0, 1.5978840173488789, 6.898767830447664, 6000.0, 30.739729538780427, 0.0, 0.0, 1.0, 55.0]",1,False,False,0,23.414,0.7916666666666666
garments,2,42,0,1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 0.0, 0.0, 1.0, 0.75, 6.884895861993142, 6000.0, 31.340657804541195, 0.0, 0.0, 2.0, 55.0]",1,False,False,0,24.382,0.7916666666666666
garments,2,42,0,1,2,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 0.0, 0.0, 2.0, 2.310809116994279, 7.302761311347668, 6000.0, 30.365682219465427, 0.0, 0.0, 0.0, 59.42771386339083]",2,False,False,0,24.508,0.7916666666666666
garments,2,42,0,1,3,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 0.0, 5.0, 1.0, 0.75, 7.360997867379121, 6000.0, 31.772417963080915, 0.0, 0.0, 0.0, 58.99116105772166]",1,False,False,0,23.328,0.7916666666666666
garments,2,42,0,1,4,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[1.0, 0.0, 5.0, 0.0, 0.75, 7.570672212325192, 6000.0, 29.2117478755322, 2.8740476459806503, 0.0, 0.0, 55.0]",1,False,False,0,22.964,0.7916666666666666
garments,2,42,0,2,0,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[3.0, 1.0, 3.0, 0.0, 0.75, 24.519324498139078, 6900.0, 64.83221873440075, 0.0, 0.0, 0.0, 57.5]",1,False,False,0,37.959,0.7916666666666666
garments,2,42,0,2,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 0.0, 3.0, 0.0, 4.304147928552052, 22.410290849546687, 6900.0, 64.50935097448067, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,38.35,0.7916666666666666
garments,2,42,0,2,2,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 0.0, 3.0, 0.0, 0.75, 24.84412053162004, 6900.0, 64.27439321279033, 0.0, 0.0, 0.0, 57.5]",1,False,False,0,35.193,0.7916666666666666
garments,2,42,0,2,3,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 22.96898611553586, 6900.0, 65.0215432481066, 0.0, 0.0, 0.0, 57.5]",1,False,False,0,37.739,0.7916666666666666
garments,2,42,0,2,4,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[4.0, 1.0, 3.0, 0.0, 0.75, 23.010775276047323, 6900.0, 64.257762886092, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,38.661,0.7916666666666666
garments,2,42,0,5,0,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 0.0, 1.0, 7.0, 0.8, 23.74164188490388, 7080.0, 64.324308589499, 0.0, 0.0, 0.0, 59.0]",2,False,False,0,27.473,0.7916666666666666
garments,2,42,0,5,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 0.0, 7.0, 0.8, 24.195431724849822, 7080.0, 64.15793846673745, 0.0, 0.0, 0.0, 59.0]",2,False,False,0,25.509,0.7916666666666666
garments,2,42,0,5,2,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 0.0, 7.0, 0.8, 26.16, 7080.0, 64.11102690269661, 0.0, 0.0, 0.0, 59.0]",1,False,False,0,27.463,0.7916666666666666
garments,2,42,0,5,3,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 25.34865034395455, 7080.0, 64.61977775977758, 0.0, 0.0, 0.0, 59.0]",2,False,False,0,27.482,0.7916666666666666
garments,2,42,0,5,4,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 64.40257086566996, 0.0, 0.0, 0.0, 59.0]",1,False,False,0,25.099,0.7916666666666666
garments,2,42,0,6,0,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 0.0, 1.0, 8.0, 0.8, 7.512216883230735, 6720.0, 29.660377050817537, 0.0, 0.0, 0.0, 56.0]",1,False,False,0,36.828,0.7916666666666666
garments,2,42,0,6,1,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 0.0, 1.0, 6.0, 0.8, 7.221280828625098, 6720.0, 31.693487442171726, 0.0, 0.0, 0.0, 56.0]",1,False,False,0,36.992,0.7916666666666666
garments,2,42,0,6,2,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 0.0, 1.0, 4.0, 0.8, 5.304064041175479, 6720.0, 32.51846188602797, 0.0, 0.0, 1.0, 56.0]",0,False,False,0,36.511,0.7916666666666666
garments,2,42,0,6,3,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[4.0, 0.0, 1.0, 10.0, 0.8, 7.542676013566851, 6720.0, 32.875352455481135, 3.390189681073768, 0.0, 0.0, 56.0]",2,False,False,0,34.907,0.7916666666666666
garments,2,42,0,6,4,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 0.0, 1.0, 1.0, 0.8, 7.069571402635571, 6720.0, 31.70872249661115, 0.0, 0.0, 0.0, 56.0]",1,False,False,0,38.561,0.7916666666666666
garments,2,42,0,7,0,"[0.0, 0.0, 1.0, 1.0, 0.8, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",1,1,"[0.0, 0.0, 1.0, 1.0, 0.8, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.588014464797014]",2,False,False,0,1.248,0.7916666666666666
garments,2,42,0,7,1,"[0.0, 0.0, 1.0, 1.0, 0.8, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",1,1,"[0.0, 0.0, 1.0, 1.0, 0.8, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",1,False,False,0,1.102,0.7916666666666666
garments,2,42,0,7,2,"[0.0, 0.0, 1.0, 1.0, 0.8, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",1,1,"[0.0, 0.0, 1.0, 1.0, 0.8, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.540586594993412]",2,False,False,0,1.277,0.7916666666666666
garments,2,42,0,7,3,"[0.0, 0.0, 1.0, 1.0, 0.8, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",1,1,"[0.0, 0.0, 1.0, 1.0, 0.8, 4.038575613693456, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",1,False,False,0,1.131,0.7916666666666666
