dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,run_time,blackbox_test_acc,opt_C_robust,opt_K_robust
garments,2,42,2,1,0,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 17.084, 11.41, 3660.0, 46.384, 0.0, 0.0, 0.0, 30.5]",1,False,2209.617,0.7824267782426778,False,0
garments,2,42,2,1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 17.052284, 11.41, 3660.0, 41.384, 0.0, 0.0, 0.0, 30.5]",1,False,2148.566,0.7824267782426778,False,0
garments,2,42,2,1,2,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 17.096639, 11.41, 3660.0, 41.384, 0.0, 0.0, 0.0, 30.5]",1,False,2214.154,0.7824267782426778,False,0
garments,2,42,2,2,0,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 46.616, 0.0, 0.0, 0.0, 57.5]",1,False,2151.343,0.7824267782426778,False,0
garments,2,42,2,2,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 39.384, 0.0, 0.0, 0.0, 57.5]",1,False,2173.23,0.7824267782426778,False,0
garments,2,42,2,2,2,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 17.097407, 28.08, 6900.0, 48.616, 0.0, 0.0, 0.0, 57.5]",1,False,2177.502,0.7824267782426778,False,0
garments,2,42,2,3,0,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 6900.0, 44.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 4718.384, 42.384, 0.0, 0.0, 0.0, 57.5]",1,False,1639.609,0.7824267782426778,False,0
garments,2,42,2,3,1,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 6900.0, 44.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 6900.0, 48.616, 0.0, 0.0, 0.0, 57.5]",1,False,2132.012,0.7824267782426778,False,0
garments,2,42,2,3,2,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 6900.0, 44.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 8.0, 0.7, 28.08, 6900.0, 43.384, 0.0, 0.0, 0.0, 57.5]",1,False,2113.383,0.7824267782426778,False,0
garments,2,42,2,6,0,"[0.0, 1.0, 1.0, 0.0, 0.8, 28.08, 6300.0, 50.0, 0.0, 0.0, 0.0, 56.5]",1,1,"[0.0, 1.0, 1.0, 0.0, 0.8, 28.08, 6300.0, 38.616, 0.0, 0.0, 0.0, 56.5]",1,False,1560.193,0.7824267782426778,False,0
garments,2,42,2,6,1,"[0.0, 1.0, 1.0, 0.0, 0.8, 28.08, 6300.0, 50.0, 0.0, 0.0, 0.0, 56.5]",1,1,"[0.0, 1.0, 1.0, 0.0, 0.744019, 28.08, 6300.0, 74.936, 0.0, 0.0, 0.0, 56.5]",2,False,2148.957,0.7824267782426778,False,0
garments,2,42,2,6,2,"[0.0, 1.0, 1.0, 0.0, 0.8, 28.08, 6300.0, 50.0, 0.0, 0.0, 0.0, 56.5]",1,1,"[0.0, 1.0, 1.0, 0.0, 0.8, 28.08, 6300.0, 54.384, 0.0, 0.0, 0.0, 56.5]",1,False,1811.229,0.7824267782426778,False,0
garments,2,42,2,7,0,"[0.0, 1.0, 1.0, 2.0, 0.8, 28.08, 6540.0, 50.0, 0.0, 0.0, 0.0, 54.5]",1,1,"[0.0, 1.0, 1.0, 2.0, 0.8, 28.08, 6540.0, 53.616, 0.0, 0.0, 0.0, 54.5]",1,False,1495.733,0.7824267782426778,False,0
garments,2,42,2,7,1,"[0.0, 1.0, 1.0, 2.0, 0.8, 28.08, 6540.0, 50.0, 0.0, 0.0, 0.0, 54.5]",1,1,"[0.0, 1.0, 1.0, 2.0, 17.052648, 28.08, 6540.0, 44.384, 0.0, 0.0, 0.0, 54.5]",1,False,2097.932,0.7824267782426778,False,0
garments,2,42,2,7,2,"[0.0, 1.0, 1.0, 2.0, 0.8, 28.08, 6540.0, 50.0, 0.0, 0.0, 0.0, 54.5]",1,1,"[0.0, 1.0, 1.0, 2.0, 0.8, 28.08, 6540.0, 46.384, 0.0, 0.0, 0.0, 54.5]",1,False,2210.662,0.7824267782426778,False,0
