dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc
compas,0,42,2,3,0,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",1,False,False,0,27.735,0.7825
compas,0,42,2,3,1,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",1,False,False,0,27.868,0.7825
compas,0,42,2,3,2,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",1,False,False,0,27.808,0.7825
compas,0,42,2,3,3,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",1,False,False,0,27.783,0.7825
compas,0,42,2,3,4,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",1,False,False,0,27.853,0.7825
compas,0,42,2,5,0,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",1,False,False,0,27.241,0.7825
compas,0,42,2,5,1,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",1,False,False,0,27.245,0.7825
compas,0,42,2,5,2,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",1,False,False,0,27.218,0.7825
compas,0,42,2,5,3,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",1,False,False,0,27.208,0.7825
compas,0,42,2,5,4,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",1,False,False,0,27.207,0.7825
compas,0,42,2,8,0,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.0, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",1,False,False,0,27.622,0.7825
compas,0,42,2,8,1,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.0, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",1,False,False,0,27.687,0.7825
